smiles,gsk3
Nc1nonc1-c1nc2cc(O)ccc2n1C1CCC1,1
CCOC(=O)CN=c1nc(-c2ccc(OC)cc2)n(-c2ccccc2)s1,1
CN1CCN(c2ccc(Nc3nccc(-c4cnn5ncccc45)n3)cc2)CC1,1
COc1ccc(-c2nc(=NCCO)sn2-c2ccccc2)cc1,1
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCC#N)c2)n1,1
Cc1cccc(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,1
Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c12,1
CN(C)c1ccc(-c2c(-c3ccc4n[nH]c(N)c4c3)nnn2Cc2ccccc2)cc1,1
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc4ncccc4c32)cc1,1
Cc1cc2cc(-c3csc4c(-c5cccc(S(C)(=O)=O)c5)cnc(N)c34)ccc2[nH]1,1
COCC1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,1
O=C1NC(=O)C(n2ccc3ncccc32)=C1c1cn(CCn2ccnc2)c2ccccc12,1
Cc1n[nH]c2c1C(c1cccc(Cl)c1)C1C(=O)CC(C)(C)CC1=N2,1
CN(C)S(=O)(=O)c1ccc(Nc2cc(NC3CCC(N)CC3)nc3c(Cl)cnn23)cc1,1
COc1ccc2c(C3=C(c4cn(C)c5cc(Cl)c(F)cc45)C(=O)NC3=O)coc2c1,1
COc1ccc2nc(NC(=O)CCNC(=O)c3ccccc3Cl)sc2c1,1
C(=Cc1cncc(OCCc2c[nH]c3ccccc23)c1)c1ccncc1,1
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,1
CCCC(=O)Nc1n[nH]c2cc(Cl)ccc12,1
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1
Cn1cc(C2=C(c3ccc(-c4ccccc4)cc3)C(=O)NC2=O)c2ccccc21,1
O=C1Nc2ccccc2C1=Cc1c(Cl)[nH]c2ccccc12,1
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12,1
CCC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4O,1
O=C1NC(=O)C(c2nn(CCCN3CCOCC3)c3ncccc23)=C1c1cn(CCCN2CCOCC2)c2ccccc12,1
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,1
CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,1
O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1ccc(Cl)c(C(=O)O)c1,1
O=C(c1cccs1)c1coc2ccc(O)cc12,1
Cn1cc(-c2ccncn2)c(-c2ccc(F)cc2)n1,1
Cc1n[nH]c2c1C(c1ccccc1)C1C(=O)CC(C)(C)CC1=N2,1
Oc1nc(-c2ccccc2)cc(-c2ccc3[nH]ncc3c2)n1,1
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)c(F)c1,1
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(O)cc1,1
Cc1n[nH]c2c1C(c1ccccc1C#N)C1C(=O)CC(C)(C)CC1=N2,1
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,1
COc1ccc(C2CN(c3nc(-c4ccncn4)cc(=O)n3C)CCO2)cc1,1
c1ccc(CSc2nnc(-c3ccc4c(c3)CCO4)o2)cc1,1
O=C1N=c2ccc(I)cc2=C1c1[nH]c2ccccc2c1NO,1
COc1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
CN(CCN)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,1
O=C(Nc1n[nH]c2nc3ccccc3cc12)c1ccncc1,1
Cn1sc(=O)n(-c2ccc(Br)cc2)c1=O,1
CCCC(=O)Nc1n[nH]c2cc(C(F)(F)F)ccc12,1
O=C(O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1O,1
CN(C)C(=O)c1ccccc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12,1
O=C1C(=O)C(NCCc2ccc(Oc3ccccc3)cc2)C1=Nc1ccncc1,1
Cc1ccccc1-n1ncc2c3c(c4cccn4c21)C(=O)NC3=O,1
N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2,1
COc1ccc(-n2sc(=NCc3cccnc3)nc2-c2ccccc2)cc1,1
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(C)c3ccccc3)c2)[nH]1,1
COc1ccc(Sc2nc(Nc3cc(C)n[nH]3)c3ccccc3n2)cc1OC,1
N#Cc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,1
Cc1ccc(S(=O)(=O)Nc2ccc(CCNC(=O)c3ccc(O)c4[nH]c(Cc5ccccc5)nc34)cc2)cc1,1
CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1,1
Cc1ccncc1NC(=O)c1ccnc2nc(N3CCC(c4ccccc4)C3)[nH]c12,1
[H]C1(c2ccccc2)c2c(C)n[nH]c2N=C2CC(C)(C)CC(=O)C21,1
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cccc(Cl)c1,1
Cc1cc(S(=O)(=O)N2CCN(C)CC2)c(C)cc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,1
c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,1
CCCN(CCC)Cc1c(C(=O)NN=Cc2ccsc2)nnn1-c1nonc1N,1
Nc1nccc2scc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12,1
Cc1n[nH]c2c1C(C)C1C(=O)CC(C)(C)CC1=N2,1
CC(C)(C)Nc1c(Nc2ccnc(Nc3ccc(-c4ccncc4)cc3)n2)c(=O)c1=O,1
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(C)O)c5)cnc(N)c34)cc2)c1,1
